,Country1,Preterm ,lat,lon
0,Antigua & Barbuda,45.4,17.060816,-61.796428000000006
1,Argentina,45.1,-38.416097,-63.616671999999994
2,Bahamas,49.4,25.03428,-77.39628
3,Bulgaria,42.4,42.733883,25.48583
4,Denmark,50.9,56.26392,9.501785
5,Germany,41.4,51.165690999999995,10.451526
6,Greece,54.2,39.074208,21.824312
7,Hungary,56.1,47.162494,19.503304
8,Iceland,53.3,64.96305100000001,-19.020835
9,India,43.8,20.593684,78.96288
10,Korea Rep,52.8,40.339852,127.510093
11,Kuwait,46.9,29.311659999999996,47.481766
12,Luxembourg,54.4,49.815273,6.129583
13,Macedonia,71.2,41.608635,21.745275
14,Palau,41.9,7.51498,134.58252
15,Poland,49.3,51.919438,19.145135999999997
16,Romania,43.0,45.943160999999996,24.96676
17,Russian Federation,42.3,61.52401,105.31875600000001
18,Saint Lucia,45.6,13.909444,-60.97889300000001
19,Serbia,59.6,44.016521000000004,21.005859
20,Slovakia,47.5,48.669026,19.699023999999998
21,Slovenia,54.4,46.151241,14.995463
22,St Vincent & the Grenadines,54.4,12.984305,-61.287228000000006
23,Suriname,42.1,3.9193050000000005,-56.02778299999999
24,Tonga,41.4,-21.178986,-175.198242
25,Turkey,43.5,38.963745,35.243322
26,Tuvalu,41.9,-7.109535,177.64933
27,Ukraine,41.3,48.379433,31.16558
28,United Kingdom,54.9,55.378051,-3.435973
29,United States of America,45.5,37.09024,-95.712891
